iter	Logloss
239	0.2127124007
240	0.2124535471
241	0.2122577452
242	0.2120499063
243	0.211691091
244	0.2114160602
245	0.2110938972
246	0.2107735139
247	0.2103954607
248	0.2100010248
249	0.2097719776
250	0.2093095791
251	0.2090862455
252	0.2086512581
253	0.20848574
254	0.2081390602
255	0.2078210281
256	0.2074612556
257	0.2072136443
258	0.2069139561
259	0.2066322981
260	0.2062286531
261	0.2059049573
262	0.2055654094
263	0.2050869577
264	0.2048647231
265	0.2041773178
266	0.2038918109
267	0.2036910079
268	0.203407212
269	0.2033968802
270	0.203150256
271	0.202822122
272	0.2025262467
273	0.2022208441
274	0.2018730755
275	0.2015112079
276	0.2010970806
277	0.2008464517
278	0.2005807258
279	0.2003281414
280	0.2000261138
281	0.1997665076
282	0.1996911173
283	0.1994310837
284	0.1990657371
285	0.1987913846
286	0.1985075115
287	0.1983542094
288	0.1980626743
289	0.1978900532
290	0.1975628894
291	0.1972286873
292	0.1970181094
293	0.1968321815
294	0.1965429835
295	0.1962510449
296	0.1960138347
297	0.1958320045
298	0.1956626239
299	0.1952470586
300	0.1950817857
301	0.1948748095
302	0.1944632433
303	0.1941400725
304	0.1938254306
305	0.1935942041
306	0.1931762772
307	0.1928804415
308	0.1925520446
309	0.1923054457
310	0.1916780408
311	0.1915266467
312	0.1912240075
313	0.1910187497
314	0.1908064756
315	0.1905595412
316	0.1903517987
317	0.189880658
318	0.1895301966
319	0.1893701432
320	0.1893500041
321	0.1890675051
322	0.1890610104
323	0.1888599472
324	0.1886446523
325	0.188291752
326	0.1880640138
327	0.1878018655
328	0.1875857788
329	0.1873167905
330	0.1869067563
331	0.186586233
332	0.1864082591
333	0.1859540607
334	0.1856254014
335	0.185271256
336	0.1848410362
337	0.1846453036
338	0.1843899903
339	0.1840075903
340	0.1838879949
341	0.1836441642
342	0.1833452942
343	0.1830850704
344	0.1828398326
345	0.1825907642
346	0.1823272552
347	0.1821690083
348	0.1819951467
349	0.181770544
350	0.1817084609
351	0.1813307559
352	0.1809082781
353	0.1804811542
354	0.1802647692
355	0.1800798392
356	0.1798655037
357	0.1796302482
358	0.1794897548
359	0.1792486308
360	0.1790034005
361	0.1788847087
362	0.178548741
363	0.1785222682
364	0.1782227085
365	0.1780071643
366	0.1779066563
367	0.177674775
368	0.1774045828
369	0.1771787237
370	0.1766633731
371	0.1762890295
372	0.1760202709
373	0.1756553858
374	0.1755112051
375	0.1752438655
376	0.1750398244
377	0.174657059
378	0.1745190584
379	0.1742758919
380	0.1740870685
381	0.1739140988
382	0.1735847217
383	0.1732073406
384	0.1730362782
385	0.1728521165
386	0.1725946288
387	0.1722828999
388	0.1720699197
389	0.1717285331
390	0.171381168
391	0.1710431534
392	0.1706579077
393	0.1703726898
394	0.1702473505
395	0.1698898397
396	0.169667459
397	0.1694135541
398	0.169260203
399	0.1690782286
400	0.1688829943
401	0.1687215958
402	0.1684781609
403	0.1683396776
404	0.168211976
405	0.1679474358
406	0.1679133366
407	0.1676803176
408	0.1673862124
409	0.1671108943
410	0.166950665
411	0.1666092774
412	0.1664282828
413	0.1662189795
414	0.1659577194
415	0.1656691909
416	0.1655803777
417	0.1653831563
418	0.1653201378
419	0.1650504137
420	0.1647320711
421	0.1645726139
422	0.1641663399
423	0.1639417701
424	0.1637637273
425	0.1635625446
426	0.1634307661
427	0.1631608904
428	0.1628536712
429	0.1625726966
430	0.162386264
431	0.1622593778
432	0.1621398369
433	0.1619163759
434	0.161610913
435	0.1615172569
436	0.1612985871
437	0.1610913913
438	0.1609153342
439	0.1604786772
440	0.1601457716
441	0.1599769983
442	0.1597040352
443	0.1594902551
444	0.1593500703
445	0.1589409614
446	0.1587920407
447	0.1586371927
448	0.1585120707
449	0.1583526539
450	0.1581115359
451	0.1580005817
452	0.1577677265
453	0.1574016855
454	0.1571757032
455	0.1570062108
456	0.1568333317
457	0.1566477389
458	0.1564690213
459	0.1561110716
460	0.1559741987
461	0.1558502794
462	0.1555738582
463	0.155254316
464	0.1550887728
465	0.1549403167
466	0.1544926366
467	0.1543138146
468	0.1539868102
469	0.1538392815
470	0.1536925984
471	0.1534080529
472	0.1531542193
473	0.1529860143
474	0.1527341714
475	0.1525740935
476	0.1523194243
477	0.1520466716
478	0.1519159201
479	0.151676366
480	0.1514046162
481	0.1511684159
482	0.1509595708
483	0.1505873684
484	0.1504616489
485	0.1502350589
486	0.1500308708
487	0.1498196239
488	0.1495161019
489	0.149359541
490	0.1492708815
491	0.1492398378
492	0.1490514843
493	0.1488104031
494	0.1484592607
495	0.1482042479
496	0.1480129565
497	0.1478075019
498	0.1475557711
499	0.1473113411
